	Name	Address	Phone	Longitude	Latitude
0	SMETANA	gorod Moskva, ulitsa Egora Abakumova, dom 9	(499) 183-14-10	37.71456500043604	55.879001531303366
1	Rodnik	gorod Moskva, ulitsa Talalihina, dom 2/1, korpus 1	(495) 676-55-35	37.6733061300344	55.7382386551547
2	Kafe «Akademija»	gorod Moskva, Abel'manovskaja ulitsa, dom 6	(495) 662-30-10	37.6696475969381	55.7355114718314
3	Cotto Ital'janskaja Kofejnja	gorod Moskva, Abramtsevskaja ulitsa, dom 9, korpus 1	(499) 200-00-22	37.57230613167112	55.90408636984904
4	GBOU «Shkola № 1430 imeni Geroja Sotsialisticheskogo Truda G.V. Kisun'ko» Shkola № 1051	gorod Moskva, Uglichskaja ulitsa, dom 17	(499) 908-06-15	37.56694	55.90401880066921
5	Brusnika	gorod Moskva, pereulok Sivtsev Vrazhek, dom 6/2	(495) 697-04-89	37.59812754843999	55.747390490526
6	Bufet MTUSI	gorod Moskva, Aviamotornaja ulitsa, dom 8, stroenie 1	(495) 673-89-78	37.71542539189804	55.75516375097069
7	Stolovaja MTUSI	gorod Moskva, Aviamotornaja ulitsa, dom 8, stroenie 1	(495) 273-89-78	37.71542539189804	55.75516375097069
8	Kafe Gogieli	gorod Moskva, Aviamotornaja ulitsa, dom 49/1	(495) 361-38-50	37.71995037885907	55.749275989276555
9	ShKOLA 735	gorod Moskva, Aviamotornaja ulitsa, dom 51	(495) 273-21-06	37.72098869657803	55.746325696672486
10	Allo Pitstsa	gorod Moskva, ulitsa Aviatorov, dom 14	(495) 934-31-00	37.53328086209287	55.51401055012196
